1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,GarageFinish_RFn,GarageFinish_Unf
856,854,3,706,150,0,548,2003,1710,4,8450,65,196,61,5,7,856,0,2003,2003,208500,False,False,True,False,True,False,False,False,True,False
1262,0,3,978,284,,460,1976,1262,3,9600,80,0,0,8,6,1262,,1976,1976,181500,True,False,False,False,False,False,False,False,True,False
920,866,3,486,434,0,608,2001,1786,4,11250,68,162,42,5,7,920,,2001,2002,223500,False,True,False,False,True,False,False,False,True,False
961,,,216,540,,642,1998,1717,4,9550,60,0,35,5,7,756,,1915,1970,140000,False,False,True,False,False,False,False,False,False,True
1145,,4,655,490,0,836,2000,2198,4,14260,84,350,84,5,8,1145,,2000,2000,250000,False,False,False,False,True,False,False,False,True,False
796,566,1,732,64,,480,1993,1362,3,14115,85,0,30,5,5,796,,1993,1995,143000,False,False,True,False,True,False,False,False,False,True
1694,0,3,1369,317,,636,2004,1694,4,10084,75,186,57,5,8,1686,,2004,2005,307000,False,False,False,False,True,False,False,False,True,False
1107,983,3,859,216,,484,1973,2090,3,10382,,240,204,6,7,1107,,1973,1973,200000,False,True,False,False,False,False,False,False,False,False
1022,752,2,0,952,,468,1931,1774,3,6120,51,0,0,5,7,952,,1931,1950,129900,False,False,True,False,False,False,False,True,False,True
1077,0,2,851,140,,205,1939,1077,3,7420,50,0,4,6,5,991,,1939,1950,118000,False,False,True,False,True,False,False,False,True,False
1040,0,3,906,134,,384,1965,1040,3,11200,70,0,0,5,5,1040,,1965,1965,129500,False,False,True,False,False,False,True,False,False,True
1182,1142,4,998,177,,736,2005,2324,5,11924,85,286,21,5,9,1175,,2005,2006,345000,False,False,True,False,False,False,False,False,False,False
912,0,2,737,175,,352,1962,912,3,12968,,0,0,6,5,912,,1962,1962,144000,False,False,True,False,False,False,False,False,False,False
1494,0,3,0,1494,,840,2006,1494,4,10652,91,306,33,5,7,1494,160,2006,2007,279500,False,False,False,False,False,False,False,True,True,False
1253,0,,733,520,,352,1960,1253,3,10920,,212,213,5,6,1253,,1960,1960,157000,False,False,True,True,False,False,False,False,True,False
854,0,2,0,832,,576,1991,854,3,6120,51,0,112,8,7,832,,1929,2001,132000,False,False,True,False,False,False,False,True,False,True
1004,0,2,578,426,,480,1970,1004,3,11241,,180,0,7,6,1004,,1970,1970,149000,False,False,True,False,False,False,False,False,False,False
1296,0,2,0,0,,516,1967,1296,3,10791,72,0,0,5,4,0,,1967,1967,90000,False,False,False,False,False,False,False,False,False,True
1114,,,646,468,,576,2004,1114,4,13695,66,0,102,5,5,1114,,2004,2004,159000,False,False,True,False,True,False,False,False,False,True
1339,0,3,504,525,,294,1958,1339,3,7560,70,0,0,6,5,1029,,1958,1965,139000,False,False,True,False,False,True,False,False,False,True
1158,1218,4,0,1158,,853,2005,2376,4,14215,101,380,154,5,8,1158,240,2005,2006,325300,False,False,False,False,False,False,False,True,True,False
1108,0,3,0,637,,280,1930,1108,4,7449,57,0,0,7,7,637,,1930,1950,139400,False,False,True,False,False,False,False,True,False,True
1795,0,3,0,1777,,534,2002,1795,4,9742,75,281,159,5,8,1777,,2002,2002,230000,False,False,True,False,False,False,False,False,True,False
1060,0,3,840,200,,572,1976,1060,3,4224,44,0,110,7,5,1040,100,1976,1976,129900,False,False,True,False,True,False,False,False,False,False
1060,0,3,188,204,,270,1968,1060,4,8246,,0,90,8,5,1060,,1968,2001,154000,False,True,False,False,False,False,True,False,False,True
1600,0,3,0,1566,,890,2007,1600,4,14230,110,640,56,5,8,1566,,2007,2007,256300,False,False,True,False,False,False,False,True,True,False
900,0,3,234,180,,576,2005,900,4,7200,60,0,32,7,5,900,,1951,2000,134800,False,True,False,False,False,False,False,False,False,True
1704,,3,1218,486,,772,2008,1704,4,11478,98,200,50,5,8,1704,,2007,2008,306000,False,False,True,False,True,False,False,False,False,False
1600,0,2,1277,207,0,319,1957,1600,3,16321,47,0,258,6,5,1484,,1957,1997,207500,True,False,False,True,False,False,False,False,True,False
520,0,1,0,520,,240,1920,520,2,6324,60,0,0,6,4,520,,1927,1950,68500,False,False,True,False,False,False,False,True,False,True
649,668,3,0,649,,250,1920,1317,3,8500,50,0,54,4,4,649,,1920,1950,40000,False,False,True,False,False,False,False,True,False,True
1228,0,3,0,1228,,271,1966,1228,4,8544,,0,65,6,5,1228,,1966,2006,149350,False,False,True,False,False,False,False,True,False,True
